City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Bluff,0,NZ,1592509554,83,-46.6,168.33,3.89,1.34
1,Karpogory,81,RU,1592509554,63,64.0,44.45,12.8,1.98
2,Albany,39,US,1592509503,58,42.6,-73.97,31.11,0.45
3,Port Elizabeth,0,ZA,1592509554,82,-33.92,25.57,14.0,3.1
4,Ushuaia,24,AR,1592509554,64,-54.8,-68.3,2.0,3.33
5,Niihama,100,JP,1592509554,99,33.96,133.32,18.89,1.99
6,Arkadak,0,RU,1592509555,93,51.93,43.5,18.01,4.05
7,Geraldton,0,AU,1592509555,81,-28.77,114.6,11.0,2.6
8,Chui,26,UY,1592509414,78,-33.7,-53.46,17.01,6.19
9,Upernavik,0,GL,1592509393,82,72.79,-56.15,2.34,5.04
10,Mahébourg,75,MU,1592509555,68,-20.41,57.7,22.0,4.6
11,Kaitangata,39,NZ,1592509408,83,-46.28,169.85,4.95,4.55
12,Avarua,61,CK,1592509403,69,-21.21,-159.78,23.0,4.6
13,Cabo San Lucas,20,MX,1592509556,40,22.89,-109.91,34.0,3.6
14,Jati,16,PK,1592509556,82,24.35,68.27,29.89,5.59
15,Chernyshevskiy,100,RU,1592509556,70,63.01,112.47,12.37,0.5
16,Punta Arenas,90,CL,1592509376,80,-53.15,-70.92,5.0,5.7
17,Carnarvon,0,AU,1592509556,72,-24.87,113.63,15.0,5.1
18,Grand Gaube,98,MU,1592509556,79,-20.01,57.66,20.56,3.13
19,Terrace,90,CA,1592509557,87,54.52,-128.6,14.0,3.1
20,Prince Rupert,90,CA,1592509485,93,54.32,-130.32,14.0,7.7
21,Yatou,80,CN,1592509557,82,37.15,122.38,19.52,2.35
22,Buala,1,SB,1592509439,79,-8.14,159.59,26.86,1.94
23,Busselton,51,AU,1592509392,97,-33.65,115.33,5.0,1.53
24,Virginia Beach,75,US,1592509294,65,36.85,-75.98,26.67,5.7
25,Ponta do Sol,20,PT,1592509557,73,32.67,-17.1,22.0,3.6
26,Atuona,20,PF,1592509390,76,-9.8,-139.03,26.72,5.0
27,Mataura,0,NZ,1592509558,83,-46.19,168.86,3.89,1.34
28,Ancud,75,CL,1592509558,87,-41.87,-73.82,11.0,7.7
29,Seabra,24,BR,1592509558,64,-12.42,-41.77,21.55,3.95
30,Nikolskoye,75,RU,1592509558,72,59.7,30.79,20.0,2.0
31,Bredasdorp,0,ZA,1592509558,87,-34.53,20.04,9.0,2.13
32,Mitú,64,CO,1592509341,80,1.2,-70.17,28.56,0.77
33,Cape Town,0,ZA,1592509264,58,-33.93,18.42,16.67,4.6
34,Iqaluit,90,CA,1592509378,74,63.75,-68.51,6.0,5.1
35,Aitape,0,PG,1592509431,82,-3.14,142.35,25.61,1.78
36,Rikitea,100,PF,1592509559,85,-23.12,-134.97,24.45,7.26
37,Jamestown,75,US,1592509559,54,42.1,-79.24,27.0,4.1
38,Bengkulu,97,ID,1592509422,89,-3.8,102.27,24.42,1.94
39,Oodweyne,4,SO,1592509560,57,9.41,45.06,23.28,5.11
40,Hirara,100,JP,1592509560,84,24.8,125.28,28.74,10.24
41,Mfou,20,CM,1592509560,94,3.72,11.64,23.0,1.0
42,Cairns,90,AU,1592509546,94,-16.92,145.77,21.11,5.1
43,Vaini,20,TO,1592509561,83,-21.2,-175.2,21.0,4.1
44,El Carmen,50,CO,1592509561,73,8.51,-73.45,27.69,1.0
45,Nola,0,IT,1592509561,73,40.92,14.53,21.11,2.1
46,Kapaa,90,US,1592509561,94,22.08,-159.32,25.0,6.7
47,São Filipe,0,CV,1592509562,63,14.9,-24.5,26.97,6.69
48,Motygino,100,RU,1592509562,58,58.18,94.76,13.58,2.41
49,Lagoa,0,PT,1592509562,88,39.05,-27.98,18.33,5.21
50,Semey,87,KZ,1592509450,74,50.41,80.23,17.46,1.6
51,Butaritari,100,KI,1592509562,63,3.07,172.79,28.37,2.71
52,Samarai,58,PG,1592509446,83,-10.62,150.67,26.2,7.26
53,Barrow,1,US,1592509341,65,71.29,-156.79,8.0,3.6
54,Townsville,20,AU,1592509563,82,-19.25,146.8,19.0,3.1
55,Qaanaaq,0,GL,1592509405,85,77.48,-69.36,1.81,0.68
56,Osypenko,77,UA,1592509563,100,46.91,36.83,24.44,5.36
57,Hong Kong,100,HK,1592509437,74,22.29,114.16,28.89,1.79
58,Saskylakh,16,RU,1592509398,58,71.92,114.08,18.54,2.13
59,Longyearbyen,75,SJ,1592509364,65,78.22,15.64,7.0,3.6
60,Langsa,99,ID,1592509564,87,4.47,97.97,23.7,1.02
61,Omboué,80,GA,1592509321,90,-1.57,9.26,22.69,3.16
62,Antofagasta,40,CL,1592509295,82,-23.65,-70.4,16.0,6.7
63,Saint George,1,US,1592509457,12,37.1,-113.58,30.0,4.1
64,Ribeira Grande,75,PT,1592509564,88,38.52,-28.7,18.0,4.1
65,Hilo,20,US,1592509564,65,19.73,-155.09,27.0,3.89
66,Mehamn,75,NO,1592509396,81,71.04,27.85,8.0,10.8
67,Sitka,90,US,1592509565,93,57.05,-135.33,12.0,4.1
68,Balasore,100,IN,1592509565,76,21.49,86.93,28.4,4.51
69,Farmington,1,US,1592509314,12,36.73,-108.22,28.0,4.6
70,Mangan,100,IN,1592509565,59,27.52,88.53,24.83,0.83
71,Bethel,40,US,1592509565,57,41.37,-73.41,27.22,5.1
72,Järvenpää,0,FI,1592509565,77,60.47,25.09,21.11,2.1
73,New Norfolk,100,AU,1592509565,85,-42.78,147.06,5.0,0.97
74,Port Alfred,0,ZA,1592509566,79,-33.59,26.89,13.89,3.13
75,Thompson,90,CA,1592509562,93,55.74,-97.86,3.0,5.1
76,Inírida,34,CO,1592509566,89,3.87,-67.92,26.69,1.81
77,Katsuura,75,JP,1592509566,93,35.13,140.3,20.0,3.1
78,Sydney,20,AU,1592509463,93,-33.87,151.21,9.44,2.6
79,Urubichá,71,BO,1592509566,39,-15.38,-62.95,31.49,2.33
80,Nakonde,0,ZM,1592509566,86,-9.34,32.74,11.24,3.51
81,Severo-Kuril'sk,82,RU,1592509567,86,50.68,156.12,5.81,3.94
82,Maţāy,0,EG,1592509567,41,28.42,30.78,25.79,7.48
83,Adrar,56,MR,1592509567,14,20.5,-10.07,38.57,6.37
84,Medicine Hat,75,CA,1592509567,58,50.05,-110.67,13.89,5.1
85,Khatanga,22,RU,1592509434,56,71.97,102.5,11.99,4.57
86,Grindavik,75,IS,1592509567,81,63.84,-22.43,10.0,10.8
87,Serebryansk,0,KZ,1592509568,76,49.69,83.29,10.72,1.92
88,Leningradskiy,83,RU,1592509451,60,69.38,178.42,6.99,2.42
89,Sinaloa,0,MX,1592509359,34,25.0,-107.5,36.67,2.24
90,Faya,20,SA,1592509568,44,18.39,42.45,26.0,1.31
91,Saint Paul Harbor,90,US,1592509568,87,57.79,-152.41,10.0,4.6
92,Salinópolis,80,BR,1592509451,83,-0.61,-47.36,27.33,4.91
93,Storforshei,0,NO,1592509569,59,66.4,14.52,17.0,3.1
94,Erdenet,90,MN,1592509436,88,49.03,104.08,12.18,0.32
95,Kavaratti,97,IN,1592509458,80,10.57,72.64,28.96,7.08
96,Paamiut,88,GL,1592509569,84,61.99,-49.67,3.77,5.36
97,Šilutė,48,LT,1592509569,91,55.35,21.48,20.67,2.77
98,Port Hardy,90,CA,1592509562,82,50.7,-127.42,15.0,2.1
99,Hofn,0,IS,1592509438,84,64.25,-15.21,9.45,1.49
100,Mar del Plata,75,AR,1592509570,82,-38.0,-57.56,15.0,4.6
101,Alofi,49,NU,1592509570,73,-19.06,-169.92,23.0,7.7
102,Mitsamiouli,0,KM,1592509480,62,-11.38,43.28,25.26,5.75
103,Pareora,99,NZ,1592509570,88,-44.49,171.21,6.11,1.34
104,Kondinskoye,46,RU,1592509570,66,59.65,67.41,5.86,3.63
105,Provideniya,4,RU,1592509570,58,64.38,-173.3,14.0,2.0
106,Yerbogachën,96,RU,1592509376,59,61.28,108.01,12.48,0.78
107,Tessalit,0,ML,1592509483,8,20.2,1.01,37.41,4.63
108,Zhongshu,100,CN,1592509571,93,24.52,103.77,18.09,0.8
109,Beroroha,0,MG,1592509405,51,-21.67,45.17,17.85,3.51
110,Tasiilaq,100,GL,1592509571,75,65.61,-37.64,6.0,21.1
111,Beloha,2,MG,1592509571,81,-25.17,45.05,17.68,6.4
112,Hithadhoo,100,MV,1592509411,77,-0.6,73.08,29.11,4.21
113,Dingle,100,PH,1592509572,92,11.0,122.67,24.34,2.51
114,Arrondissement du Havre,75,FR,1592509572,77,49.58,0.33,17.0,3.1
115,Yellowknife,20,CA,1592509425,62,62.46,-114.35,17.78,7.2
116,Lloydminster,75,CA,1592509406,44,53.28,-110.0,15.0,3.6
117,Cayenne,75,GF,1592509573,83,4.93,-52.33,28.0,4.11
118,Port Blair,88,IN,1592509573,84,11.67,92.75,28.24,5.75
119,Chauk,90,MM,1592509573,80,20.88,94.82,25.95,8.21
120,Balotra,90,IN,1592509573,43,25.83,72.23,35.11,9.84
121,Arraial do Cabo,10,BR,1592509417,64,-22.97,-42.03,24.0,7.2
122,Mizdah,0,LY,1592509573,13,31.45,12.98,32.04,3.06
123,Kanniyākumāri,64,IN,1592509510,78,8.08,77.57,27.91,7.46
124,Bethal,0,ZA,1592509574,94,-26.46,29.47,3.33,2.34
125,Mossamedes,0,AO,1592509574,71,-15.2,12.15,21.86,1.31
126,Puri,75,IN,1592509389,94,19.8,85.85,28.0,3.1
127,The Valley,40,AI,1592509574,66,18.22,-63.06,32.0,7.2
128,Kloulklubed,100,PW,1592509574,78,7.04,134.26,28.83,5.52
129,Udachny,26,RU,1592509406,58,66.42,112.4,13.0,3.0
130,Bambous Virieux,75,MU,1592509419,68,-20.34,57.76,22.0,4.6
131,Harmanli,91,BG,1592509297,89,41.93,25.9,20.56,0.2
132,Birobidzhan,3,RU,1592509575,92,48.8,132.95,8.55,1.13
